"Source 
(H -HK-CERT/
U - US-CERT/
M - MSS)","Primary
			Vendor -- Product",Description,Published,CVSS Score,Source & Patch Info,"Relevant to Corporate IT 
(Yes / No / Maybe)",Vuln
 ,ninjateam -- filebird,The Filebird Plugin 4.7.3 introduced a SQL injection vulnerability as it is making SQL queries without escaping user input data from a HTTP post request. This is a major vulnerability as the user input is not escaped and passed directly to the get_col function and it allows SQL injection. The Rest API endpoint which invokes this function also does not have any required permissions/authentication and can be accessed by an anonymous user.,2021-07-12,7.5,CVE-2021-24385, ,High
 ,putil-merge_project -- putil-merge,Prototype pollution vulnerability in 'putil-merge' versions1.0.0 through 3.6.6 allows attacker to cause a denial of service and may lead to remote code execution.,2021-07-14,7.5,CVE-2021-25953, ,High
 ,python -- pillow,Pillow through 8.2.0 and PIL (aka Python Imaging Library) through 1.1.7 allow an attacker to pass controlled parameters directly into a convert function to trigger a buffer overflow in Convert.c.,2021-07-13,7.5,CVE-2021-34552, ,High
 ,qualcomm -- apq8009w_firmware,"Buffer overflow in modem due to improper array index check before copying into it in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",2021-07-13,10,CVE-2020-11307, ,High
 ,qualcomm -- apq8017_firmware,"Improper length check of public exponent in RSA import key function could cause memory corruption. in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Voice & Music, Snapdragon Wearables",2021-07-13,7.2,CVE-2021-1890, ,High
 ,qualcomm -- apq8017_firmware,"Incorrect handling of pointers in trusted application key import mechanism could cause memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Voice & Music, Snapdragon Wearables",2021-07-13,7.2,CVE-2021-1886, ,High
 ,qualcomm -- apq8017_firmware,"Possible buffer overflow due to lack of length check in Trusted Application in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Voice & Music, Snapdragon Wearables",2021-07-13,7.2,CVE-2021-1889, ,High
 ,qualcomm -- apq8017_firmware,"Memory corruption in key parsing and import function due to double freeing the same heap allocation in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Voice & Music, Snapdragon Wearables",2021-07-13,7.2,CVE-2021-1888, ,High
 ,qualcomm -- aqt1000_firmware,"Possible buffer overflow due to improper validation of buffer length while processing fast boot commands in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music",2021-07-13,7.2,CVE-2021-1931, ,High
 ,qualcomm -- aqt1000_firmware,"Use after free can occur due to improper handling of response from firmware in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",2021-07-13,7.2,CVE-2021-1940, ,High
 ,qualcomm -- aqt1000_firmware,"Possible buffer overflow due to lack of parameter length check during MBSSID scan IE parse in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Mobile, Snapdragon Wired Infrastructure and Networking",2021-07-13,10,CVE-2021-1965, ,High
 ,sap -- netweaver_as_abap,"A function module of SAP NetWeaver AS ABAP (Reconciliation Framework), versions - 700, 701, 702, 710, 711, 730, 731, 740, 750, 751, 752, 75A, 75B, 75B, 75C, 75D, 75E, 75F, allows a high privileged attacker to inject code that can be executed by the application. An attacker could thereby delete some critical information and could make the SAP system completely unavailable.",2021-07-14,7.5,CVE-2021-33678, ,High
 ,solarwinds -- dameware_mini_remote_control,"In SolarWinds DameWare Mini Remote Control Server 12.0.1.200, insecure file permissions allow file deletion as SYSTEM.",2021-07-13,9.4,CVE-2021-31217, ,High
 ,totaljs -- total.js,The package total.js before 3.4.9 are vulnerable to Arbitrary Code Execution via the U.set() and U.get() functions.,2021-07-12,7.5,CVE-2021-23389, ,High
 ,totaljs -- total4,The package total4 before 0.0.43 are vulnerable to Arbitrary Code Execution via the U.set() and U.get() functions.,2021-07-12,7.5,CVE-2021-23390, ,High
 ,wms_project -- wms,"SQL Injection in WMS v1.0 allows remote attackers to execute arbitrary code via the ""username"" parameter in the component ""chkuser.php"".",2021-07-12,7.5,CVE-2020-18544, ,High
 ,"wpdevart -- poll\,_survey\,_questionnaire_and_voting_system","The Poll, Survey, Questionnaire and Voting system WordPress plugin before 1.5.3 did not sanitise, escape or validate the date_answers[] POST parameter before using it in a SQL statement when sending a Poll result, allowing unauthenticated users to perform SQL Injection attacks",2021-07-12,7.5,CVE-2021-24442, ,High
 ,apache -- ant,"When reading a specially crafted TAR archive an Apache Ant build can be made to allocate large amounts of memory that finally leads to an out of memory error, even for small inputs. This can be used to disrupt builds using Apache Ant. Apache Ant prior to 1.9.16 and 1.10.11 were affected.",2021-07-14,4.3,CVE-2021-36373, ,Medium
 ,apache -- ant,"When reading a specially crafted ZIP archive, or a derived formats, an Apache Ant build can be made to allocate large amounts of memory that leads to an out of memory error, even for small inputs. This can be used to disrupt builds using Apache Ant. Commonly used derived formats from ZIP archives are for instance JAR files and many office files. Apache Ant prior to 1.9.16 and 1.10.11 were affected.",2021-07-14,4.3,CVE-2021-36374, ,Medium
 ,apache -- tomcat,"Apache Tomcat 10.0.0-M1 to 10.0.6, 9.0.0.M1 to 9.0.46 and 8.5.0 to 8.5.66 did not correctly parse the HTTP transfer-encoding request header in some circumstances leading to the possibility to request smuggling when used with a reverse proxy. Specifically: - Tomcat incorrectly ignored the transfer encoding header if the client declared it would only accept an HTTP/1.0 response; - Tomcat honoured the identify encoding; and - Tomcat did not ensure that, if present, the chunked encoding was the final encoding.",2021-07-12,5,CVE-2021-33037, ,Medium
 ,apache -- tomcat,"A vulnerability in Apache Tomcat allows an attacker to remotely trigger a denial of service. An error introduced as part of a change to improve error handling during non-blocking I/O meant that the error flag associated with the Request object was not reset between requests. This meant that once a non-blocking I/O error occurred, all future requests handled by that request object would fail. Users were able to trigger non-blocking I/O errors, e.g. by dropping a connection, thereby creating the possibility of triggering a DoS. Applications that do not use non-blocking I/O are not exposed to this vulnerability. This issue affects Apache Tomcat 10.0.3 to 10.0.4; 9.0.44; 8.5.64.",2021-07-12,5,CVE-2021-30639, ,Medium
 ,artifex -- mujs,"Buffer overflow vulnerability in function jsG_markobject in jsgc.c in mujs before 1.0.8, allows remote attackers to cause a denial of service.",2021-07-13,5,CVE-2020-22886, ,Medium
 ,artifex -- mujs,"Buffer overflow vulnerability in mujs before 1.0.8 due to recursion in the GC scanning phase, allows remote attackers to cause a denial of service.",2021-07-13,5,CVE-2020-22885, ,Medium
 ,autodesk -- design_review,"A maliciously crafted PDF, PICT or TIFF file can be used to write beyond the allocated buffer while parsing PDF, PICT or TIFF files in Autodesk 2018, 2017, 2013, 2012, 2011. This vulnerability can be exploited to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27036, ,Medium
 ,autodesk -- design_review,"A maliciously crafted TIFF file in Autodesk 2018, 2017, 2013, 2012, 2011 can be forced to read and write beyond allocated boundaries when parsing the TIFF file. This vulnerability can be exploited to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27039, ,Medium
 ,autodesk -- design_review,"A Type Confusion vulnerability in Autodesk 2018, 2017, 2013, 2012, 2011 can occur when processing a maliciously crafted PDF file. An attacker can leverage this to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27038, ,Medium
 ,autodesk -- design_review,"A maliciously crafted PNG, PDF or DWF file in Autodesk 2018, 2017, 2013, 2012, 2011 can be used to attempt to free an object that has already been freed while parsing them. This vulnerability can be exploited by remote attackers to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27037, ,Medium
 ,autodesk -- design_review,"A heap-based buffer overflow could occur while parsing PICT or TIFF files in Autodesk 2018, 2017, 2013, 2012, 2011. This vulnerability can be exploited to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27034, ,Medium
 ,autodesk -- design_review,"A maliciously crafted TIFF, PDF, PICT or DWF files in Autodesk 2018, 2017, 2013, 2012, 2011 can be forced to read beyond allocated boundaries when parsing the TIFF, PDF, PICT or DWF files. This vulnerability can be exploited to execute arbitrary code.",2021-07-09,6.8,CVE-2021-27035, ,Medium
 ,axiosys -- bento4,A buffer overflow vulnerability in Ap4ElstAtom.cpp of Bento 1.5.1-628 leads to a denial of service (DOS).,2021-07-13,4.3,CVE-2020-19719, ,Medium
 ,axiosys -- bento4,"An unhandled memory allocation failure in Core/Ap4Atom.cpp of Bento 1.5.1-628 causes a direct copy to NULL pointer dereference, leading to a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19722, ,Medium
 ,axiosys -- bento4,"An unhandled memory allocation failure in Core/AP4IkmsAtom.cpp of Bento 1.5.1-628 causes a NULL pointer dereference, leading to a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19720, ,Medium
 ,axiosys -- bento4,"An unhandled memory allocation failure in Core/Ap4Atom.cpp of Bento 1.5.1-628 causes a NULL pointer dereference, leading to a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19718, ,Medium
 ,axiosys -- bento4,"An unhandled memory allocation failure in Core/Ap48bdlAtom.cpp of Bento 1.5.1-628 causes a NULL pointer dereference, leading to a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19717, ,Medium
 ,axiosys -- bento4,"A heap buffer overflow vulnerability in Ap4TrunAtom.cpp of Bento 1.5.1-628 may lead to an out-of-bounds write while running mp42aac, leading to system crashes and a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19721, ,Medium
 ,baidu -- umeditor,Cross Site Scripting (XSS) vulnerability in umeditor v1.2.3 via /public/common/umeditor/php/getcontent.php.,2021-07-14,4.3,CVE-2020-18145, ,Medium
 ,bookingcore -- booking_core,"The “Subscribe” feature in Ultimate Booking System Booking Core 1.7.0 is vulnerable to CSV formula injection. The input containing the excel formula is not being sanitized by the application. As a result when admin in backend download and open the csv, content of the cells are executed.",2021-07-14,6.8,CVE-2020-25445, ,Medium
 ,bookingcore -- booking_core,"Cross Site Request Forgery (CSRF) vulnerability in Booking Core - Ultimate Booking System Booking Core 1.7.0 . The CSRF token is not being validated when the request is sent as a GET method. This results in an unauthorized change in the user's email ID, which can later be used to reset the password. The new password will be sent to a modified email ID.",2021-07-14,4.3,CVE-2020-27379, ,Medium
 ,brave -- brave,"In Brave Desktop between versions 1.17 and 1.26.60, when adblocking is enabled and a proxy browser extension is installed, the CNAME adblocking feature issues DNS requests that used the system DNS settings instead of the extension's proxy settings, resulting in possible information disclosure.",2021-07-12,4.3,CVE-2021-22916, ,Medium
 ,brave -- browser,Brave Browser Desktop between versions 1.17 and 1.20 is vulnerable to information disclosure by way of DNS requests in Tor windows not flowing through Tor if adblocking was enabled.,2021-07-12,4.3,CVE-2021-22917, ,Medium
 ,codeblab -- glass,"The Glass WordPress plugin through 1.3.2 does not sanitise or escape its ""Glass Pages"" setting before outputting in a page, leading to a Stored Cross-Site Scripting issue. Furthermore, the plugin did not have CSRF check in place when saving its settings, allowing the issue to be exploited via a CSRF attack.",2021-07-12,4.3,CVE-2021-24434, ,Medium
 ,dell -- emc_unity_operating_environment,"Dell EMC Unity, Unity XT, and UnityVSA versions prior to 5.1.0.0.5.394 contain a plain-text password storage vulnerability. A local malicious user with high privileges may use the exposed password to gain access with the privileges of the compromised user.",2021-07-12,4.6,CVE-2021-21590, ,Medium
 ,dell -- emc_unity_operating_environment,"Dell EMC Unity, Unity XT, and UnityVSA versions prior to 5.1.0.0.5.394 do not exit on failed Initialization. A local authenticated Service user could potentially exploit this vulnerability to escalate privileges.",2021-07-12,4.6,CVE-2021-21589, ,Medium
 ,dell -- emc_unity_operating_environment,"Dell EMC Unity, Unity XT, and UnityVSA versions prior to 5.1.0.0.5.394 contain a plain-text password storage vulnerability. A local malicious user with high privileges may use the exposed password to gain access with the privileges of the compromised user.",2021-07-12,4.6,CVE-2021-21591, ,Medium
 ,dell -- powerflex_presentation_server,"Dell EMC PowerFlex, v3.5.x contain a Cross-Site WebSocket Hijacking Vulnerability in the Presentation Server/WebUI. An unauthenticated attacker could potentially exploit this vulnerability by tricking the user into performing unwanted actions on the Presentation Server and perform which may lead to configuration changes.",2021-07-12,4.3,CVE-2021-21588, ,Medium
 ,delta_project -- delta,dandavison delta before 0.8.3 on Windows resolves an executable's pathname as a relative path from the current directory.,2021-07-13,4.4,CVE-2021-36376, ,Medium
 ,devolutions -- devolutions_server,"Devolutions Server before 2021.1.18, and LTS before 2020.3.20, allows attackers to intercept private keys via a man-in-the-middle attack against the connections/partial endpoint (which accepts cleartext).",2021-07-12,4.3,CVE-2021-36382, ,Medium
 ,echobh -- sharecare,"An issue was discovered in Echo ShareCare 8.15.5. The TextReader feature in General/TextReader/TextReader.cfm is susceptible to a local file inclusion vulnerability when processing remote input in the textFile parameter from an authenticated user, leading to the ability to read arbitrary files on the server filesystems as well any files accessible via Universal Naming Convention (UNC) paths.",2021-07-13,4,CVE-2021-36123, ,Medium
 ,echobh -- sharecare,"An issue was discovered in Echo ShareCare 8.15.5. The UnzipFile feature in Access/EligFeedParse_Sup/UnzipFile_Upd.cfm is susceptible to a command argument injection vulnerability when processing remote input in the zippass parameter from an authenticated user, leading to the ability to inject arbitrary arguments to 7z.exe.",2021-07-13,6.5,CVE-2021-36122, ,Medium
 ,echobh -- sharecare,"An issue was discovered in Echo ShareCare 8.15.5. The file-upload feature in Access/DownloadFeed_Mnt/FileUpload_Upd.cfm is susceptible to an unrestricted upload vulnerability via the name1 parameter, when processing remote input from an authenticated user, leading to the ability for arbitrary files to be written to arbitrary filesystem locations via ../ Directory Traversal on the Z: drive (a hard-coded drive letter where ShareCare application files reside) and remote code execution as the ShareCare service user (NT AUTHORITY\SYSTEM).",2021-07-13,6.5,CVE-2021-36121, ,Medium
 ,edgexfoundry -- edgex_foundry,"EdgeX Foundry is an open source project for building a common open framework for internet-of-things edge computing. A vulnerability exists in the Edinburgh, Fuji, Geneva, and Hanoi versions of the software. When the EdgeX API gateway is configured for OAuth2 authentication and a proxy user is created, the client_id and client_secret required to obtain an OAuth2 authentication token are set to the username of the proxy user. A remote network attacker can then perform a dictionary-based password attack on the OAuth2 token endpoint of the API gateway to obtain an OAuth2 authentication token and use that token to make authenticated calls to EdgeX microservices from an untrusted network. OAuth2 is the default authentication method in EdgeX Edinburgh release. The default authentication method was changed to JWT in Fuji and later releases. Users should upgrade to the EdgeX Ireland release to obtain the fix. The OAuth2 authentication method is disabled in Ireland release. If unable to upgrade and OAuth2 authentication is required, users should create OAuth2 users directly using the Kong admin API and forgo the use of the `security-proxy-setup` tool to create OAuth2 users.",2021-07-09,5.8,CVE-2021-32753, ,Medium
 ,edifecs -- transaction_management,"In Edifecs Transaction Management through 2021-07-12, an unauthenticated user can inject arbitrary text into a user's browser via logon.jsp?logon_error= on the login screen of the Web application.",2021-07-12,5,CVE-2021-36381, ,Medium
 ,element-it -- http_commander,A Directory Traversal vulnerability in the Unzip feature in Elements-IT HTTP Commander 5.3.3 allows remote authenticated users to write files to arbitrary directories via relative paths in ZIP archives.,2021-07-14,4,CVE-2021-33211, ,Medium
 ,element-it -- http_commander,"An SSRF vulnerability in the ""Upload from URL"" feature in Elements-IT HTTP Commander 5.3.3 allows remote authenticated users to retrieve HTTP and FTP files from the internal server network by inserting an internal address.",2021-07-14,4,CVE-2021-33213, ,Medium
 ,esri -- arcgis_server,A stored Cross Site Scripting (XXS) vulnerability in ArcGIS Server Manager version 10.8.1 and below may allow a remote unauthenticated attacker to pass and store malicious strings in the ArcGIS Server Manager application.,2021-07-10,4.3,CVE-2021-29107, ,Medium
 ,esri -- arcgis_server,A reflected Cross Site Scripting (XSS) vulnerability in Esri ArcGIS Server version 10.8.1 and below may allow a remote attacker able to convince a user to click on a crafted link which could potentially execute arbitrary JavaScript code in the user’s browser.,2021-07-10,4.3,CVE-2021-29106, ,Medium
 ,esri -- arcgis_server,"A Server-Side Request Forgery (SSRF) vulnerability in ArcGIS Server Manager version 10.8.1 and below may allow a remote, unauthenticated attacker to forge GET requests to arbitrary URLs from the system, potentially leading to network enumeration or facilitating other attacks.",2021-07-11,6.4,CVE-2021-29102, ,Medium
 ,esri -- arcgis_server,A stored Cross Site Scripting (XXS) vulnerability in ArcGIS Server Manager version 10.8.1 and below may allow a remote unauthenticated attacker to pass and store malicious strings in the ArcGIS Server Manager application.,2021-07-11,4.3,CVE-2021-29104, ,Medium
 ,esri -- arcgis_server,A reflected Cross Site Scripting (XXS) vulnerability in ArcGIS Server version 10.8.1 and below may allow a remote attacker able to convince a user to click on a crafted link which could potentially execute arbitrary JavaScript code in the user’s browser.,2021-07-11,4.3,CVE-2021-29103, ,Medium
 ,eventespresso -- event_espresso,A cross-site scripting (XSS) vulnerability in wp-content/plugins/event-espresso-core-reg/admin_pages/messages/templates/ee_msg_admin_overview.template.php in the Event Espresso Core plugin before 4.10.7.p for WordPress allows remote attackers to inject arbitrary web script or HTML via the page parameter.,2021-07-13,4.3,CVE-2020-26153, ,Medium
 ,exiv2 -- exiv2,A buffer overflow vulnerability in the Databuf function in types.cpp of Exiv2 v0.27.1 leads to a denial of service (DOS).,2021-07-13,4.3,CVE-2020-19716, ,Medium
 ,exiv2 -- exiv2,"An integer overflow vulnerability in the getUShort function of Exiv2 0.27.1 results in segmentation faults within the application, leading to a denial of service (DOS).",2021-07-13,4.3,CVE-2020-19715, ,Medium
 ,fetchdesigns -- sign-up_sheets,"The Sign-up Sheets WordPress plugin before 1.0.14 does not not sanitise or validate the Sheet title when generating the CSV to export, which could lead to a CSV injection issue",2021-07-12,6,CVE-2021-24441, ,Medium
 ,fortinet -- fortiap,An improper neutralization of special elements used in an OS Command vulnerability in FortiAP's console 6.4.1 through 6.4.5 and 6.2.4 through 6.2.5 may allow an authenticated attacker to execute unauthorized commands by running the kdbg CLI command with specifically crafted arguments.,2021-07-09,4.6,CVE-2021-26106, ,Medium
 ,fortinet -- fortimail,A missing release of memory after its effective lifetime vulnerability in the Webmail of FortiMail 6.4.0 through 6.4.4 and 6.2.0 through 6.2.6 may allow an unauthenticated remote attacker to exhaust available memory via specifically crafted login requests.,2021-07-12,5,CVE-2021-26090, ,Medium
