advisory_title,bug_ids,cwe,summary,cvss_base_score,cves,publication_url,last_updated,sir,product_names,first_published,advisory_id,cvrfUrl
Cisco Adaptive Security Device Manager Remote Code Execution Vulnerability,CSCvw79912,CWE-94,"A vulnerability in the Cisco Adaptive Security Device Manager (ASDM) Launcher could allow an unauthenticated, remote attacker to execute arbitrary code on a user's operating system. This vulnerability is due to a lack of proper signature verification for specific code exchanged between the ASDM and the Launcher. An attacker could exploit this vulnerability by leveraging a man-in-the-middle position on the network to intercept the traffic between the Launcher and the ASDM and then inject arbitrary code. A successful exploit could allow the attacker to execute arbitrary code on the user's operating system with the level of privileges assigned to the ASDM Launcher. A successful exploit may require the attacker to perform a social engineering attack to persuade the user to initiate communication from the Launcher to the ASDM. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW",7.5,CVE-2021-1585,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW,2021-07-13T13:02:38,Medium,Cisco Adaptive Security Appliance (ASA) Software ,2021-07-07T16:00:00,cisco-sa-asdm-rce-gqjShXW,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW/cvrf/cisco-sa-asdm-rce-gqjShXW_cvrf.xml
Cisco BroadWorks Application Server Information Disclosure Vulnerability,CSCvv41798,CWE-200,"A vulnerability in the XSI-Actions interface of Cisco BroadWorks Application Server could allow an authenticated, remote attacker to access sensitive information on an affected system. This vulnerability is due to improper input validation and authorization of specific commands that a user can execute within the XSI-Actions interface. An attacker could exploit this vulnerability by authenticating to an affected device and issuing a specific set of commands. A successful exploit could allow the attacker to join a Call Center instance and have calls that they do not have permissions to access distributed to them from the Call Center queue. At the time of publication, Cisco had not released updates that address this vulnerability for Cisco BroadWorks Application Server. However, firmware patches are available. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ",4.3,CVE-2021-1562,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ,2021-07-09T18:17:57,Medium,Cisco BroadWorks ,2021-07-07T16:00:00,cisco-sa-broad-as-inf-disc-ZUXGFFXQ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ/cvrf/cisco-sa-broad-as-inf-disc-ZUXGFFXQ_cvrf.xml
Cisco Business Process Automation Privilege Escalation Vulnerabilities,CSCvx72502	CSCvx72508	CSCvx72516,CWE-285	CWE-798,"Multiple vulnerabilities in the web-based management interface of Cisco Business Process Automation (BPA) could allow an authenticated, remote attacker to elevate privileges to Administrator. These vulnerabilities are due to improper authorization enforcement for specific features and for access to log files that contain confidential information. An attacker could exploit these vulnerabilities either by submitting crafted HTTP messages to an affected system and performing unauthorized actions with the privileges of an administrator, or by retrieving sensitive data from the logs and using it to impersonate a legitimate privileged user. A successful exploit could allow the attacker to elevate privileges to Administrator. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4",8.8,CVE-2021-1574	CVE-2021-1576,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4,2021-07-07T23:00:00,High,Cisco Business Process Automation (BPA) ,2021-07-07T23:00:00,cisco-sa-bpa-priv-esc-dgubwbH4,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4/cvrf/cisco-sa-bpa-priv-esc-dgubwbH4_cvrf.xml
Broadcom MediaxChange Vulnerability Affecting Cisco Products: July 2021,CSCvx08743	CSCvx08744	CSCvx08753	CSCvx08762	CSCvx08807,CWE-120,"A vulnerability in the TrustZone implementation in certain Broadcom MediaxChange firmware was reported by security researchers. To exploit this vulnerability on the affected Cisco products, the attacker would need to dismount the backplate of the device and trigger a specific series of impulses on the chipset. This would reload the device in a special mode allowing access to the bootshell. The attacker would then issue specific commands with crafted parameters in the bootshell, which would trigger the vulnerability. Exploitation of this vulnerability could result in arbitrary code execution with privilege escalation. At the time of publication, a link to the details about this vulnerability was not available. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh",6.8,CVE-2021-33478,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh,2021-07-07T23:00:00,Medium,Cisco IP Phones with Multiplatform Firmware ,2021-07-07T23:00:00,cisco-sa-brcm-mxc-jul2021-26LqUZUh,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh/cvrf/cisco-sa-brcm-mxc-jul2021-26LqUZUh_cvrf.xml
Cisco SD-WAN vManage Software Information Disclosure Vulnerability,CSCvu28438	CSCvu28450,CWE-497,"A vulnerability in the cluster management interface of Cisco SD-WAN vManage Software could allow an unauthenticated, remote attacker to view sensitive information on an affected system. To be affected by this vulnerability, the vManage software must be in cluster mode. This vulnerability is due to the absence of authentication for sensitive information in the cluster management interface. An attacker could exploit this vulnerability by sending a crafted request to the cluster management interface of an affected system. A successful exploit could allow the attacker to view sensitive information on the affected system. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8",5.3,CVE-2021-1234,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8,2021-07-07T19:45:23,Medium,Cisco SD-WAN vManage ,2021-05-05T16:00:00,cisco-sa-sdwan-vmaninfdis3-OvdR6uu8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8/cvrf/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8_cvrf.xml
Cisco Web Security Appliance Privilege Escalation Vulnerability,CSCvv81569,CWE-112,"A vulnerability in the configuration management of Cisco AsyncOS for Cisco Web Security Appliance (WSA) could allow an authenticated, remote attacker to perform command injection and elevate privileges to root. This vulnerability is due to insufficient validation of user-supplied XML input for the web interface. An attacker could exploit this vulnerability by uploading crafted XML configuration files that contain scripting code to a vulnerable device. A successful exploit could allow the attacker to execute arbitrary commands on the underlying operating system and elevate privileges to root. An attacker would need a valid user account with the rights to upload configuration files to exploit this vulnerability. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ",6.3,CVE-2021-1359,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ,2021-07-07T16:00:00,High,Cisco Web Security Appliance (WSA) ,2021-07-07T16:00:00,cisco-sa-scr-web-priv-esc-k3HCGJZ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ/cvrf/cisco-sa-scr-web-priv-esc-k3HCGJZ_cvrf.xml
Cisco Video Surveillance 7000 Series IP Cameras Link Layer Discovery Protocol Memory Leak Vulnerabilities,CSCvy61465,CWE-401,"Multiple vulnerabilities in the Link Layer Discovery Protocol (LLDP) implementation for Cisco Video Surveillance 7000 Series IP Cameras could allow an unauthenticated, adjacent attacker to cause a memory leak, which could lead to a denial of service (DoS) condition on an affected device. These vulnerabilities are due to incorrect processing of certain LLDP packets at ingress time. An attacker could exploit these vulnerabilities by sending crafted LLDP packets to an affected device. A successful exploit could allow the attacker to cause the affected device to continuously consume memory, which could cause the device to crash and reload, resulting in a DoS condition. Note: LLDP is a Layer 2 protocol. To exploit these vulnerabilities, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent). Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq",6.5,CVE-2021-1595	CVE-2021-1596	CVE-2021-1597	CVE-2021-1598,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq,2021-07-07T16:00:00,Medium,Cisco Video Surveillance 7000 Series IP Cameras ,2021-07-07T16:00:00,cisco-sa-ipcamera-lldp-mem-wGqundTq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq/cvrf/cisco-sa-ipcamera-lldp-mem-wGqundTq_cvrf.xml
Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabilities,CSCvv95150	CSCvw53652	CSCvw53661	CSCvw53668	CSCvw53683,CWE-79,"Multiple vulnerabilities in the web-based management interface of Cisco Identity Services Engine (ISE) could allow an authenticated, remote attacker to conduct a stored cross-site scripting (XSS) attack against a user. These vulnerabilities exist because the web-based management interface does not sufficiently validate user-supplied input. An attacker could exploit these vulnerabilities by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit these vulnerabilities, the attacker would need valid administrative credentials. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL",4.8,CVE-2021-1603	CVE-2021-1604	CVE-2021-1605	CVE-2021-1606	CVE-2021-1607,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL,2021-07-07T16:00:00,Medium,Cisco Identity Services Engine Software ,2021-07-07T16:00:00,cisco-sa-ise-stored-xss-TWwjVPdL,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL/cvrf/cisco-sa-ise-stored-xss-TWwjVPdL_cvrf.xml
Cisco Virtualized Voice Browser Cross-Site Scripting Vulnerability,CSCvx89188,CWE-79,"A vulnerability in the web-based management interface of Cisco Virtualized Voice Browser could allow an unauthenticated, remote attacker to conduct a cross-site scripting (XSS) attack against a user of the interface. This vulnerability exists because the web-based management interface does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of an affected interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3",6.1,CVE-2021-1575,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3,2021-07-07T16:00:00,Medium,Cisco Virtualized Voice Browser ,2021-07-07T16:00:00,cisco-sa-vvb-xss-wG4zXRp3,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3/cvrf/cisco-sa-vvb-xss-wG4zXRp3_cvrf.xml
Cisco Video Surveillance 7000 Series IP Cameras Cisco Discovery Protocol and Link Layer Discovery Protocol Memory Leak Vulnerabilities,CSCvy12638,CWE-400,"Multiple vulnerabilities in the implementation of the Cisco Discovery Protocol and Link Layer Discovery Protocol (LLDP) for Cisco Video Surveillance 7000 Series IP Cameras could allow an unauthenticated, adjacent attacker to cause a memory leak, which could lead to a denial of service (DoS) condition on an affected device. These vulnerabilities are due to incorrect processing of certain Cisco Discovery Protocol and LLDP packets at ingress time. An attacker could exploit these vulnerabilities by sending crafted Cisco Discovery Protocol or LLDP packets to an affected device. A successful exploit could allow the attacker to cause the affected device to continuously consume memory, which could cause the device to crash and reload, resulting in a DoS condition. Note: Cisco Discovery Protocol and LLDP are Layer 2 protocols. To exploit these vulnerabilities, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent). Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO",6.5,CVE-2021-1563	CVE-2021-1564,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO,2021-07-07T15:55:28,Medium,Cisco Video Surveillance 7000 Series IP Cameras ,2021-06-02T16:00:00,cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO/cvrf/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO_cvrf.xml
Cisco ADE-OS Local File Inclusion Vulnerability,CSCvv57166	CSCvw47125	CSCvw48396,CWE-73,"A vulnerability in the restricted shell of Cisco Evolved Programmable Network (EPN) Manager, Cisco Identity Services Engine (ISE), and Cisco Prime Infrastructure could allow an authenticated, local attacker to identify directories and write arbitrary files to the file system. This vulnerability is due to improper validation of parameters that are sent to a CLI command within the restricted shell. An attacker could exploit this vulnerability by logging in to the device and issuing certain CLI commands. A successful exploit could allow the attacker to identify file directories on the affected device and write arbitrary files to the file system on the affected device. To exploit this vulnerability, the attacker must be an authenticated shell user. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ",4.4,CVE-2021-1306,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ,2021-06-24T21:24:36,Medium,Cisco Identity Services Engine Software 	Cisco Prime Infrastructure 	Cisco Evolved Programmable Network Manager (EPNM) ,2021-05-19T23:00:00,cisco-sa-ade-xcvAQEOZ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ/cvrf/cisco-sa-ade-xcvAQEOZ_cvrf.xml
Cisco Jabber Desktop and Mobile Client Software Vulnerabilities,CSCvy20799	CSCvy20801,CWE-399	CWE-522,"Multiple vulnerabilities in Cisco Jabber for Windows, Cisco Jabber for Mac, and Cisco Jabber for mobile platforms could allow an attacker to access sensitive information or cause a denial of service (DoS) condition. For more information about these vulnerabilities, see the Details section of this advisory. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG",6.5,CVE-2021-1569	CVE-2021-1570,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG,2021-06-17T20:25:14,Medium,Cisco Jabber ,2021-06-16T16:00:00,cisco-sa-jabber-GuC5mLwG,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG/cvrf/cisco-sa-jabber-GuC5mLwG_cvrf.xml
Cisco AnyConnect Secure Mobility Client for Windows Denial of Service Vulnerability,CSCvx09155,CWE-789,"A vulnerability in Cisco AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to cause a denial of service (DoS) condition on an affected system. This vulnerability is due to uncontrolled memory allocation. An attacker could exploit this vulnerability by copying a crafted file to a specific folder on the system. A successful exploit could allow the attacker to crash the VPN Agent service when the affected application is launched, causing it to be unavailable to all users of the system. To exploit this vulnerability, the attacker must have valid credentials on a multiuser Windows system. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8",5.5,CVE-2021-1568,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8,2021-06-16T16:00:00,Medium,Cisco AnyConnect Secure Mobility Client ,2021-06-16T16:00:00,cisco-sa-anyconnect-dos-hMhyDfb8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8/cvrf/cisco-sa-anyconnect-dos-hMhyDfb8_cvrf.xml
Cisco Meeting Server API Denial of Service Vulnerability,CSCvx32184,CWE-20,"A vulnerability in the API of Cisco Meeting Server could allow an authenticated, remote attacker to cause a denial of service (DoS) condition on an affected device. This vulnerability exists because requests that are sent to the API are not properly validated. An attacker could exploit this vulnerability by sending a malicious request to the API. A successful exploit could allow the attacker to cause all participants on a call to be disconnected, resulting in a DoS condition. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT",4.3,CVE-2021-1524,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT,2021-06-16T16:00:00,Medium,Cisco Meeting Server ,2021-06-16T16:00:00,cisco-sa-meetingserver-dos-NzVWMMQT,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT/cvrf/cisco-sa-meetingserver-dos-NzVWMMQT_cvrf.xml
Cisco Email Security Appliance and Cisco Web Security Appliance Certificate Validation Vulnerability,CSCvw08342	CSCvw08378,CWE-296,"A vulnerability in the Cisco Advanced Malware Protection (AMP) for Endpoints integration of Cisco AsyncOS for Cisco Email Security Appliance (ESA) and Cisco Web Security Appliance (WSA) could allow an unauthenticated, remote attacker to intercept traffic between an affected device and the AMP servers. This vulnerability is due to improper certificate validation when an affected device establishes TLS connections. A man-in-the-middle attacker could exploit this vulnerability by sending a crafted TLS packet to an affected device. A successful exploit could allow the attacker to spoof a trusted host and then extract sensitive information or alter certain API requests. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW",7.4,CVE-2021-1566,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW,2021-06-16T16:00:00,High,Cisco Web Security Appliance (WSA) 	Cisco Email Security Appliance (ESA) ,2021-06-16T16:00:00,cisco-sa-esa-wsa-cert-vali-n8L97RW,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW/cvrf/cisco-sa-esa-wsa-cert-vali-n8L97RW_cvrf.xml
Cisco DNA Center Certificate Validation Vulnerability,CSCvt16845,CWE-295,"A vulnerability in the Cisco Identity Services Engine (ISE) integration feature of the Cisco DNA Center Software could allow an unauthenticated, remote attacker to gain unauthorized access to sensitive data. The vulnerability is due to an incomplete validation of the X.509 certificate used when establishing a connection between DNA Center and an ISE server. An attacker could exploit this vulnerability by supplying a crafted certificate and could then intercept communications between the ISE and DNA Center. A successful exploit could allow the attacker to view and alter sensitive information that the ISE maintains about clients that are connected to the network. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk",7.4,CVE-2021-1134,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk,2021-06-16T16:00:00,High,Cisco Digital Network Architecture Center (DNA Center) ,2021-06-16T16:00:00,cisco-sa-dnac-certvalid-USEj2CZk,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk/cvrf/cisco-sa-dnac-certvalid-USEj2CZk_cvrf.xml
Cisco Small Business 220 Series Smart Switches Vulnerabilities,CSCvx57830	CSCvx57925	CSCvx57935,CWE-287	CWE-77	CWE-79,"Multiple vulnerabilities in the web-based management interface of Cisco Small Business 220 Series Smart Switches could allow an attacker to do the following: Hijack a user session Execute arbitrary commands as a root user on the underlying operating system Conduct a cross-site scripting (XSS) attack Conduct an HTML injection attack For more information about these vulnerabilities, see the Details section of this advisory. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E",7.5,CVE-2021-1541	CVE-2021-1542	CVE-2021-1543	CVE-2021-1571,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E,2021-06-16T16:00:00,High,Cisco Small Business 220 Series Smart Plus Switches 	Cisco Small Business Smart and Managed Switches ,2021-06-16T16:00:00,cisco-sa-ciscosb-multivulns-Wwyb7s5E,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E/cvrf/cisco-sa-ciscosb-multivulns-Wwyb7s5E_cvrf.xml
Cisco AnyConnect Secure Mobility Client for Windows with VPN Posture (HostScan) Module DLL Hijacking Vulnerability,CSCvx52084,CWE-367,"A vulnerability in the DLL loading mechanism of Cisco AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to perform a DLL hijacking attack on an affected device if the VPN Posture (HostScan) Module is installed on the AnyConnect client. This vulnerability is due to a race condition in the signature verification process for DLL files that are loaded on an affected device. An attacker could exploit this vulnerability by sending a series of crafted interprocess communication (IPC) messages to the AnyConnect process. A successful exploit could allow the attacker to execute arbitrary code on the affected device with SYSTEM privileges. To exploit this vulnerability, the attacker must have valid credentials on the Windows system. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv",7.0,CVE-2021-1567,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv,2021-06-16T16:00:00,High,Cisco AnyConnect Secure Mobility Client ,2021-06-16T16:00:00,cisco-sa-anyconnect-pos-dll-ff8j6dFv,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv/cvrf/cisco-sa-anyconnect-pos-dll-ff8j6dFv_cvrf.xml
Lasso SAML Implementation Vulnerability Affecting Cisco Products: June 2021,NA,CWE-269,"On June 1, 2021, Lasso disclosed a security vulnerability in the Lasso Security Assertion Markup Language (SAML) Single Sign-On (SSO) library. This vulnerability could allow an authenticated attacker to impersonate another authorized user when interacting with an application. For a description of this vulnerability, see lasso.git NEWS. This advisory will be updated as additional information becomes available. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-lasso-saml-jun2021-DOXNRLkD",NA,CVE-2021-28091,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-lasso-saml-jun2021-DOXNRLkD,2021-06-15T21:37:02,High,NA,2021-06-01T12:30:00,cisco-sa-lasso-saml-jun2021-DOXNRLkD,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-lasso-saml-jun2021-DOXNRLkD/cvrf/cisco-sa-lasso-saml-jun2021-DOXNRLkD_cvrf.xml
Cisco ASR 5000 Series Software Authorization Bypass Vulnerabilities,CSCvu85001	CSCvv33622,CWE-863,"Multiple vulnerabilities in the authorization process of Cisco ASR 5000 Series Software (StarOS) could allow an authenticated, remote attacker to bypass authorization and execute a subset of CLI commands on an affected device. For more information about these vulnerabilities, see the Details section of this advisory. Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asr5k-autho-bypass-mJDF5S7n",8.1,CVE-2021-1539	CVE-2021-1540,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asr5k-autho-bypass-mJDF5S7n,2021-06-02T16:00:00,High,Cisco ASR 5000 Series Software ,2021-06-02T16:00:00,cisco-sa-asr5k-autho-bypass-mJDF5S7n,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-asr5k-autho-bypass-mJDF5S7n/cvrf/cisco-sa-asr5k-autho-bypass-mJDF5S7n_cvrf.xml
Cisco Webex Player Memory Corruption Vulnerability,CSCvx58407,CWE-119,A vulnerability in Cisco Webex Player for Windows and MacOS could allow an attacker to execute arbitrary code on an affected system. This vulnerability is due to insufficient validation of values in Webex recording files that are in Webex Recording Format (WRF). An attacker could exploit this vulnerability by sending a user a malicious WRF file through a link or email attachment and persuading the user to open the file with the affected software on the local system. A successful exploit could allow the attacker to execute arbitrary code on the affected system with the privileges of the targeted user. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-webex-player-kOf8zVT,7.8,CVE-2021-1526,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-webex-player-kOf8zVT,2021-06-02T16:00:00,High,Cisco Webex Meetings 	Cisco Webex Network Recording Player ,2021-06-02T16:00:00,cisco-sa-webex-player-kOf8zVT,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-webex-player-kOf8zVT/cvrf/cisco-sa-webex-player-kOf8zVT_cvrf.xml
Cisco Webex Network Recording Player and Webex Player Memory Corruption Vulnerability,CSCvx30404,CWE-119,A vulnerability in Cisco Webex Network Recording Player for Windows and MacOS and Cisco Webex Player for Windows and MacOS could allow an attacker to execute arbitrary code on an affected system. The vulnerability is due to insufficient validation of values within Webex recording files formatted as either Advanced Recording Format (ARF) or Webex Recording Format (WRF). An attacker could exploit the vulnerability by sending a user a malicious ARF or WRF file through a link or email attachment and persuading the user to open the file. A successful exploit could allow the attacker to execute arbitrary code on the affected system with the privileges of the targeted user. Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability. This advisory is available at the following link:https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-webex-player-dOJ2jOJ,7.8,CVE-2021-1502,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-webex-player-dOJ2jOJ,2021-06-02T16:00:00,High,Cisco Webex Meetings 	Cisco Webex Network Recording Player ,2021-06-02T16:00:00,cisco-sa-webex-player-dOJ2jOJ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-webex-player-dOJ2jOJ/cvrf/cisco-sa-webex-player-dOJ2jOJ_cvrf.xml
