advisory_id,cves,publication_url,cvrfUrl,last_updated,product_names,advisory_title,bug_ids,cwe,summary,first_published,cvss_base_score,sir
cisco-sa-asdm-rce-gqjShXW,CVE-2021-1585,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW/cvrf/cisco-sa-asdm-rce-gqjShXW_cvrf.xml,2021-07-13T13:02:38,Cisco Adaptive Security Appliance (ASA) Software ,Cisco Adaptive Security Device Manager Remote Code Execution Vulnerability,CSCvw79912,CWE-94,"<p>A vulnerability in the Cisco&nbsp;Adaptive Security Device Manager (ASDM) Launcher could allow an unauthenticated, remote attacker to execute arbitrary code on a user's operating system.</p>
<p>This vulnerability is due to a lack of proper signature verification for specific code exchanged between the ASDM and the Launcher. An attacker could exploit this vulnerability by leveraging a man-in-the-middle position on the network to intercept the traffic between the Launcher and the ASDM and then inject arbitrary code. A successful exploit could allow the attacker to execute arbitrary code on the user's operating system with the level of privileges assigned to the ASDM Launcher. A successful exploit may require the attacker to perform a social engineering attack to persuade the user to initiate communication from the Launcher to the ASDM.</p>
<p>There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asdm-rce-gqjShXW</a></p>",2021-07-07T16:00:00,7.5,Medium
cisco-sa-broad-as-inf-disc-ZUXGFFXQ,CVE-2021-1562,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ/cvrf/cisco-sa-broad-as-inf-disc-ZUXGFFXQ_cvrf.xml,2021-07-09T18:17:57,Cisco BroadWorks ,Cisco BroadWorks Application Server Information Disclosure Vulnerability,CSCvv41798,CWE-200,"<p>A vulnerability in the XSI-Actions interface of Cisco&nbsp;BroadWorks Application Server could allow an authenticated, remote attacker to access sensitive information on an affected system.</p>
<p>This vulnerability is due to improper input validation and authorization of specific commands that a user can execute within the XSI-Actions interface. An attacker could exploit this vulnerability by authenticating to an affected device and issuing a specific set of commands. A successful exploit could allow the attacker to join a Call Center instance and have calls that they do not have permissions to access distributed to them from the Call Center queue.</p>
<p>At the time of publication, Cisco&nbsp;had not released updates that address this vulnerability for Cisco&nbsp;BroadWorks Application Server. However, firmware patches are available. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-broad-as-inf-disc-ZUXGFFXQ</a></p>",2021-07-07T16:00:00,4.3,Medium
cisco-sa-bpa-priv-esc-dgubwbH4,"CVE-2021-1574	CVE-2021-1576",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4/cvrf/cisco-sa-bpa-priv-esc-dgubwbH4_cvrf.xml,2021-07-07T23:00:00,Cisco Business Process Automation (BPA) ,Cisco Business Process Automation Privilege Escalation Vulnerabilities,"CSCvx72502	CSCvx72508	CSCvx72516","CWE-285	CWE-798","<p>Multiple vulnerabilities in the web-based management interface of Cisco&nbsp;Business Process Automation (BPA) could allow an authenticated, remote attacker to elevate privileges to <em>Administrator</em>.</p>
<p>These vulnerabilities are due to improper authorization enforcement for specific features and for access to log files that contain confidential information. An attacker could exploit these vulnerabilities either by submitting crafted HTTP messages to an affected system and performing unauthorized actions with the privileges of an administrator, or by retrieving sensitive data from the logs and using it to impersonate a legitimate privileged user. A successful exploit could allow the attacker to elevate privileges to <em>Administrator</em>.</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-bpa-priv-esc-dgubwbH4</a></p>",2021-07-07T23:00:00,8.8,High
cisco-sa-brcm-mxc-jul2021-26LqUZUh,CVE-2021-33478,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh/cvrf/cisco-sa-brcm-mxc-jul2021-26LqUZUh_cvrf.xml,2021-07-07T23:00:00,Cisco IP Phones with Multiplatform Firmware ,Broadcom MediaxChange Vulnerability Affecting Cisco Products: July 2021,"CSCvx08743	CSCvx08744	CSCvx08753	CSCvx08762	CSCvx08807",CWE-120,"<p>A vulnerability in the TrustZone implementation in certain Broadcom MediaxChange firmware was reported by security researchers. To exploit this vulnerability on the affected Cisco&nbsp;products, the attacker would need to dismount the backplate of the device and trigger a specific series of impulses on the chipset. This would reload the device in a special mode allowing access to the bootshell. The attacker would then issue specific commands with crafted parameters in the bootshell, which would trigger the vulnerability. Exploitation of this vulnerability could result in arbitrary code execution with privilege escalation.</p>
<p>At the time of publication, a link to the details about this vulnerability was not available.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-brcm-mxc-jul2021-26LqUZUh</a></p>",2021-07-07T23:00:00,6.8,Medium
cisco-sa-sdwan-vmaninfdis3-OvdR6uu8,CVE-2021-1234,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8/cvrf/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8_cvrf.xml,2021-07-07T19:45:23,Cisco SD-WAN vManage ,Cisco SD-WAN vManage Software Information Disclosure Vulnerability,"CSCvu28438	CSCvu28450",CWE-497,"<p>A vulnerability in the cluster management interface of Cisco&nbsp;SD-WAN vManage Software could allow an unauthenticated, remote attacker to view sensitive information on an affected system. To be affected by this vulnerability, the vManage software must be in cluster mode.</p>
<p>This vulnerability is due to the absence of authentication for sensitive information in the cluster management interface. An attacker could exploit this vulnerability by sending a crafted request to the cluster management interface of an affected system. A successful exploit could allow the attacker to view sensitive information on the affected system.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-sdwan-vmaninfdis3-OvdR6uu8</a></p>",2021-05-05T16:00:00,5.3,Medium
cisco-sa-scr-web-priv-esc-k3HCGJZ,CVE-2021-1359,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ/cvrf/cisco-sa-scr-web-priv-esc-k3HCGJZ_cvrf.xml,2021-07-07T16:00:00,Cisco Web Security Appliance (WSA) ,Cisco Web Security Appliance Privilege Escalation Vulnerability,CSCvv81569,CWE-112,"<p>A vulnerability in the configuration management of Cisco&nbsp;AsyncOS for Cisco&nbsp;Web Security Appliance (WSA) could allow an authenticated, remote attacker to perform command injection and elevate privileges to <em>root</em>.</p>
<p>This vulnerability is due to insufficient validation of user-supplied XML input for the web interface. An attacker could exploit this vulnerability by uploading crafted XML configuration files that contain scripting code to a vulnerable device. A successful exploit could allow the attacker to execute arbitrary commands on the underlying operating system and elevate privileges to <em>root</em>. An attacker would need a valid user account with the rights to upload configuration files to exploit this vulnerability.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-scr-web-priv-esc-k3HCGJZ</a></p>",2021-07-07T16:00:00,6.3,High
cisco-sa-ipcamera-lldp-mem-wGqundTq,"CVE-2021-1595	CVE-2021-1596	CVE-2021-1597	CVE-2021-1598",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq/cvrf/cisco-sa-ipcamera-lldp-mem-wGqundTq_cvrf.xml,2021-07-07T16:00:00,Cisco Video Surveillance 7000 Series IP Cameras ,Cisco Video Surveillance 7000 Series IP Cameras Link Layer Discovery Protocol Memory Leak Vulnerabilities,CSCvy61465,CWE-401,"<p>Multiple vulnerabilities in the Link Layer Discovery Protocol (LLDP) implementation for Cisco&nbsp;Video Surveillance 7000 Series IP Cameras could allow an unauthenticated, adjacent attacker to cause a memory leak, which could lead to a denial of service (DoS) condition on an affected device.</p>
<p>These vulnerabilities are due to incorrect processing of certain LLDP packets at ingress time. An attacker could exploit these vulnerabilities by sending crafted LLDP packets to an affected device. A successful exploit could allow the attacker to cause the affected device to continuously consume memory, which could cause the device to crash and reload, resulting in a DoS condition.</p>
<p><strong>Note: </strong>LLDP is a Layer 2 protocol. To exploit these vulnerabilities, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent).</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldp-mem-wGqundTq</a></p>",2021-07-07T16:00:00,6.5,Medium
cisco-sa-ise-stored-xss-TWwjVPdL,"CVE-2021-1603	CVE-2021-1604	CVE-2021-1605	CVE-2021-1606	CVE-2021-1607",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL/cvrf/cisco-sa-ise-stored-xss-TWwjVPdL_cvrf.xml,2021-07-07T16:00:00,Cisco Identity Services Engine Software ,Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabilities,"CSCvv95150	CSCvw53652	CSCvw53661	CSCvw53668	CSCvw53683",CWE-79,"<p>Multiple vulnerabilities in the web-based management interface of Cisco&nbsp;Identity Services Engine (ISE) could allow an authenticated, remote attacker to conduct a stored cross-site scripting (XSS) attack against a user.</p>
<p>These vulnerabilities exist because the web-based management interface does not sufficiently validate user-supplied input. An attacker could exploit these vulnerabilities by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit these vulnerabilities, the attacker would need valid administrative credentials.</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-stored-xss-TWwjVPdL</a></p>",2021-07-07T16:00:00,4.8,Medium
cisco-sa-vvb-xss-wG4zXRp3,CVE-2021-1575,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3/cvrf/cisco-sa-vvb-xss-wG4zXRp3_cvrf.xml,2021-07-07T16:00:00,Cisco Virtualized Voice Browser ,Cisco Virtualized Voice Browser Cross-Site Scripting Vulnerability,CSCvx89188,CWE-79,"<p>A vulnerability in the web-based management interface of Cisco&nbsp;Virtualized Voice Browser could allow an unauthenticated, remote attacker to conduct a cross-site scripting (XSS) attack against a user of the interface.</p>
<p>This vulnerability exists because the web-based management interface does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of an affected interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-vvb-xss-wG4zXRp3</a></p>",2021-07-07T16:00:00,6.1,Medium
cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO,"CVE-2021-1563	CVE-2021-1564",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO/cvrf/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO_cvrf.xml,2021-07-07T15:55:28,Cisco Video Surveillance 7000 Series IP Cameras ,Cisco Video Surveillance 7000 Series IP Cameras Cisco Discovery Protocol and Link Layer Discovery Protocol Memory Leak Vulnerabilities,CSCvy12638,CWE-400,"<p>Multiple vulnerabilities in the implementation of the Cisco&nbsp;Discovery Protocol and Link Layer Discovery Protocol (LLDP) for Cisco&nbsp;Video Surveillance 7000 Series IP Cameras could allow an unauthenticated, adjacent attacker to cause a memory leak, which could lead to a denial of service (DoS) condition on an affected device.</p>
<p>These vulnerabilities are due to incorrect processing of certain Cisco&nbsp;Discovery Protocol and LLDP packets at ingress time. An attacker could exploit these vulnerabilities by sending crafted Cisco&nbsp;Discovery Protocol or LLDP packets to an affected device. A successful exploit could allow the attacker to cause the affected device to continuously consume memory, which could cause the device to crash and reload, resulting in a DoS condition.</p>
<p><strong>Note: </strong>Cisco&nbsp;Discovery Protocol and LLDP are Layer 2 protocols. To exploit these vulnerabilities, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent).</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ipcamera-lldpcdp-mem-yTQDmjRO</a></p>",2021-06-02T16:00:00,6.5,Medium
cisco-sa-ade-xcvAQEOZ,CVE-2021-1306,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ/cvrf/cisco-sa-ade-xcvAQEOZ_cvrf.xml,2021-06-24T21:24:36,"Cisco Identity Services Engine Software 	Cisco Prime Infrastructure 	Cisco Evolved Programmable Network Manager (EPNM) ",Cisco ADE-OS Local File Inclusion Vulnerability,"CSCvv57166	CSCvw47125	CSCvw48396",CWE-73,"<p>A vulnerability in the restricted shell of Cisco&nbsp;Evolved Programmable Network (EPN) Manager, Cisco&nbsp;Identity Services Engine (ISE), and Cisco&nbsp;Prime Infrastructure could allow an authenticated, local attacker to identify directories and write arbitrary files to the file system.</p>
<p>This vulnerability is due to improper validation of parameters that are sent to a CLI command within the restricted shell. An attacker could exploit this vulnerability by logging in to the device and issuing certain CLI commands. A successful exploit could allow the attacker to identify file directories on the affected device and write arbitrary files to the file system on the affected device. To exploit this vulnerability, the attacker must be an authenticated shell user.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ade-xcvAQEOZ</a></p>",2021-05-19T23:00:00,4.4,Medium
cisco-sa-jabber-GuC5mLwG,"CVE-2021-1569	CVE-2021-1570",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG/cvrf/cisco-sa-jabber-GuC5mLwG_cvrf.xml,2021-06-17T20:25:14,Cisco Jabber ,Cisco Jabber Desktop and Mobile Client Software Vulnerabilities,"CSCvy20799	CSCvy20801","CWE-399	CWE-522","<p>Multiple vulnerabilities in Cisco&nbsp;Jabber for Windows, Cisco&nbsp;Jabber for Mac, and Cisco&nbsp;Jabber for mobile platforms could allow an attacker to access sensitive information or cause a denial of service (DoS) condition.</p>
<p>For more information about these vulnerabilities, see the <a href=""#details"">Details</a> section of this advisory.</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG"" target=""_blank"" rel=""noopener"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-jabber-GuC5mLwG</a></p>",2021-06-16T16:00:00,6.5,Medium
cisco-sa-anyconnect-dos-hMhyDfb8,CVE-2021-1568,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8/cvrf/cisco-sa-anyconnect-dos-hMhyDfb8_cvrf.xml,2021-06-16T16:00:00,Cisco AnyConnect Secure Mobility Client ,Cisco AnyConnect Secure Mobility Client for Windows Denial of Service Vulnerability,CSCvx09155,CWE-789,"<p>A vulnerability in Cisco&nbsp;AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to cause a denial of service (DoS) condition on an affected system.</p>
<p>This vulnerability is due to uncontrolled memory allocation. An attacker could exploit this vulnerability by copying a crafted file to a specific folder on the system. A successful exploit could allow the attacker to crash the VPN Agent service when the affected application is launched, causing it to be unavailable to all users of the system. To exploit this vulnerability, the attacker must have valid credentials on a multiuser Windows system.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-dos-hMhyDfb8</a></p>",2021-06-16T16:00:00,5.5,Medium
cisco-sa-meetingserver-dos-NzVWMMQT,CVE-2021-1524,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT/cvrf/cisco-sa-meetingserver-dos-NzVWMMQT_cvrf.xml,2021-06-16T16:00:00,Cisco Meeting Server ,Cisco Meeting Server API Denial of Service Vulnerability,CSCvx32184,CWE-20,"<p>A vulnerability in the API of Cisco&nbsp;Meeting Server could allow an authenticated, remote attacker to cause a denial of service (DoS) condition on an affected device.</p>
<p>This vulnerability exists because requests that are sent to the API are not properly validated. An attacker could exploit this vulnerability by sending a malicious request to the API. A successful exploit could allow the attacker to cause all participants on a call to be disconnected, resulting in a DoS condition.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-meetingserver-dos-NzVWMMQT</a></p>",2021-06-16T16:00:00,4.3,Medium
cisco-sa-esa-wsa-cert-vali-n8L97RW,CVE-2021-1566,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW/cvrf/cisco-sa-esa-wsa-cert-vali-n8L97RW_cvrf.xml,2021-06-16T16:00:00,"Cisco Web Security Appliance (WSA) 	Cisco Email Security Appliance (ESA) ",Cisco Email Security Appliance and Cisco Web Security Appliance Certificate Validation Vulnerability,"CSCvw08342	CSCvw08378",CWE-296,"<p>A vulnerability in the Cisco&nbsp;Advanced Malware Protection (AMP) for Endpoints integration of Cisco&nbsp;AsyncOS for Cisco&nbsp;Email Security Appliance (ESA) and Cisco&nbsp;Web Security Appliance (WSA) could allow an unauthenticated, remote attacker to intercept traffic between an affected device and the AMP servers.</p>
<p>This vulnerability is due to improper certificate validation when an affected device establishes TLS connections. A man-in-the-middle attacker could exploit this vulnerability by sending a crafted TLS packet to an affected device. A successful exploit could allow the attacker to spoof a trusted host and then extract sensitive information or alter certain API requests.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-esa-wsa-cert-vali-n8L97RW</a></p>",2021-06-16T16:00:00,7.4,High
cisco-sa-dnac-certvalid-USEj2CZk,CVE-2021-1134,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk/cvrf/cisco-sa-dnac-certvalid-USEj2CZk_cvrf.xml,2021-06-16T16:00:00,Cisco Digital Network Architecture Center (DNA Center) ,Cisco DNA Center Certificate Validation Vulnerability,CSCvt16845,CWE-295,"<p>A vulnerability in the <span class=""ng-binding"">Cisco&nbsp;Identity Services Engine (ISE)</span> integration feature of the Cisco&nbsp;DNA Center Software could allow an unauthenticated, remote attacker to gain unauthorized access to sensitive data.</p>
<p>The vulnerability is due to an incomplete validation of the X.509 certificate used when establishing a connection between DNA Center and an ISE server. An attacker could exploit this vulnerability by supplying a crafted certificate and could then intercept communications between the ISE and DNA Center. A successful exploit could allow the attacker to view and alter sensitive information that the ISE maintains about clients that are connected to the network.</p>

<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-dnac-certvalid-USEj2CZk</a></p>",2021-06-16T16:00:00,7.4,High
cisco-sa-ciscosb-multivulns-Wwyb7s5E,"CVE-2021-1541	CVE-2021-1542	CVE-2021-1543	CVE-2021-1571",https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E/cvrf/cisco-sa-ciscosb-multivulns-Wwyb7s5E_cvrf.xml,2021-06-16T16:00:00,"Cisco Small Business 220 Series Smart Plus Switches 	Cisco Small Business Smart and Managed Switches ",Cisco Small Business 220 Series Smart Switches Vulnerabilities,"CSCvx57830	CSCvx57925	CSCvx57935","CWE-287	CWE-77	CWE-79","<p>Multiple vulnerabilities in the web-based management interface of Cisco&nbsp;Small Business 220 Series Smart Switches could allow an attacker to do the following:</p>
<ul>
<li>Hijack a user session</li>
<li>Execute arbitrary commands as a <em>root</em> user on the underlying operating system</li>
<li>Conduct a cross-site scripting (XSS) attack</li>
<li>Conduct an HTML injection attack</li>
</ul>
<p>For more information about these vulnerabilities, see the&nbsp;<a href=""#details"">Details</a> section of this advisory.</p>
<p>Cisco&nbsp;has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br><a id=""u_psirt_publication.u_public_url_link"" class=""web web-inline form-control-static"" href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E"" target=""gsft_link"" name=""u_psirt_publication.u_public_url_link"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ciscosb-multivulns-Wwyb7s5E</a></p>",2021-06-16T16:00:00,7.5,High
cisco-sa-anyconnect-pos-dll-ff8j6dFv,CVE-2021-1567,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv,https://tools.cisco.com/security/center/contentxml/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv/cvrf/cisco-sa-anyconnect-pos-dll-ff8j6dFv_cvrf.xml,2021-06-16T16:00:00,Cisco AnyConnect Secure Mobility Client ,Cisco AnyConnect Secure Mobility Client for Windows with VPN Posture (HostScan) Module DLL Hijacking Vulnerability,CSCvx52084,CWE-367,"<p>A vulnerability in the DLL loading mechanism of Cisco&nbsp;AnyConnect Secure Mobility Client for Windows could allow an authenticated, local attacker to perform a DLL hijacking attack on an affected device if the VPN Posture (HostScan) Module is installed on the AnyConnect client.</p>
<p>This vulnerability is due to a race condition in the signature verification process for DLL files that are loaded on an affected device. An attacker could exploit this vulnerability by sending a series of crafted interprocess communication (IPC) messages to the AnyConnect process. A successful exploit could allow the attacker to execute arbitrary code on the affected device with <em>SYSTEM</em> privileges. To exploit this vulnerability, the attacker must have valid credentials on the Windows system.</p>
<p>Cisco&nbsp;has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br><a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv"" target=""_blank"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-anyconnect-pos-dll-ff8j6dFv</a></p>",2021-06-16T16:00:00,7,High
